channel_cd,interval_ts_local,meter_id,voltage_lvt,amps_lct,power_factor_pf,number_of_phases,year,month,day,hour,minute,second,week,dayofweek
a,2021-04-03 20:00:00+11:00,396.0,236.765,1.0408253333333333,0.9421666666666667,1.0,2021.0,4.0,3.0,20.0,12.5,0.0,13.0,5.0
a,2021-04-03 20:30:00+11:00,396.0,238.465,1.0946216666666666,-0.0043333333333333375,1.0,2021.0,4.0,3.0,20.0,42.5,0.0,13.0,5.0
a,2021-04-03 21:00:00+11:00,396.0,238.17499999999998,1.5231435,-0.9916666666666667,1.0,2021.0,4.0,3.0,21.0,12.5,0.0,13.0,5.0
a,2021-04-03 21:30:00+11:00,396.0,237.01833333333332,0.9377711666666667,0.999,1.0,2021.0,4.0,3.0,21.0,42.5,0.0,13.0,5.0
a,2021-04-03 22:00:00+11:00,396.0,237.99,0.8983985,0.999,1.0,2021.0,4.0,3.0,22.0,12.5,0.0,13.0,5.0
a,2021-04-03 22:30:00+11:00,396.0,238.45333333333335,0.8927261666666667,0.999,1.0,2021.0,4.0,3.0,22.0,42.5,0.0,13.0,5.0
a,2021-04-03 23:00:00+11:00,396.0,239.58666666666667,0.8918560000000001,0.9986666666666667,1.0,2021.0,4.0,3.0,23.0,12.5,0.0,13.0,5.0
a,2021-04-03 23:30:00+11:00,396.0,239.96166666666667,0.8800231666666667,0.9988333333333334,1.0,2021.0,4.0,3.0,23.0,42.5,0.0,13.0,5.0
a,2021-04-04 00:00:00+11:00,396.0,240.92666666666665,0.857262,0.9983333333333334,1.0,2021.0,4.0,4.0,0.0,12.5,0.0,13.0,6.0
a,2021-04-04 00:30:00+11:00,396.0,241.28833333333333,0.6083676666666666,-0.3185,1.0,2021.0,4.0,4.0,0.0,42.5,0.0,13.0,6.0
a,2021-04-04 01:00:00+11:00,396.0,241.41666666666666,0.39333333333333337,-0.8621666666666666,1.0,2021.0,4.0,4.0,1.0,12.5,0.0,13.0,6.0
a,2021-04-04 01:30:00+11:00,396.0,242.19500000000002,0.44480583333333334,-0.7324999999999999,1.0,2021.0,4.0,4.0,1.0,42.5,0.0,13.0,6.0
a,2021-04-04 02:00:00+11:00,396.0,243.15,0.4308091666666667,-0.7301666666666667,1.0,2021.0,4.0,4.0,2.0,12.5,0.0,13.0,6.0
a,2021-04-04 02:30:00+11:00,396.0,244.73666666666668,0.426665,-0.7261666666666667,1.0,2021.0,4.0,4.0,2.0,42.5,0.0,13.0,6.0
a,2021-04-04 02:00:00+10:00,396.0,244.24666666666667,0.46282433333333334,-0.7923333333333332,1.0,2021.0,4.0,4.0,2.0,12.5,0.0,13.0,6.0
a,2021-04-04 02:30:00+10:00,396.0,244.98833333333334,0.4785093333333334,-0.7833333333333333,1.0,2021.0,4.0,4.0,2.0,42.5,0.0,13.0,6.0
a,2021-04-04 03:00:00+10:00,396.0,245.92499999999998,0.45818050000000005,-0.7839999999999999,1.0,2021.0,4.0,4.0,3.0,12.5,0.0,13.0,6.0
a,2021-04-04 03:30:00+10:00,396.0,246.71833333333333,0.45658099999999996,-0.7879999999999999,1.0,2021.0,4.0,4.0,3.0,42.5,0.0,13.0,6.0
a,2021-04-04 04:00:00+10:00,396.0,245.95833333333334,0.4115938333333333,-0.7031666666666667,1.0,2021.0,4.0,4.0,4.0,12.5,0.0,13.0,6.0
a,2021-04-04 04:30:00+10:00,396.0,245.31833333333336,0.40618983333333336,-0.6960000000000001,1.0,2021.0,4.0,4.0,4.0,42.5,0.0,13.0,6.0
a,2021-04-04 05:00:00+10:00,396.0,245.79833333333332,0.40295166666666665,-0.6928333333333333,1.0,2021.0,4.0,4.0,5.0,12.5,0.0,13.0,6.0
a,2021-04-04 05:30:00+10:00,396.0,245.4333333333333,0.4496233333333333,-0.7805,1.0,2021.0,4.0,4.0,5.0,42.5,0.0,13.0,6.0
